temp_c,pressure_bar,b_micro_per_c,source_page
11.0,250.0,118.740000,57
12.0,250.0,129.760000,57
13.0,250.0,140.480000,57
14.0,250.0,150.900000,57
15.0,250.0,161.050000,57
16.0,250.0,170.940000,58
17.0,250.0,180.590000,58
18.0,250.0,190.010000,58
19.0,250.0,199.210000,58
20.0,250.0,208.200000,58
21.0,250.0,217.000000,58
22.0,250.0,225.630000,58
23.0,250.0,234.080000,58
24.0,250.0,242.360000,59
25.0,250.0,250.490000,59
26.0,250.0,258.480000,59
27.0,250.0,266.310000,59
28.0,250.0,274.040000,59
29.0,250.0,281.630000,59
30.0,250.0,289.110000,59
1.0,260.0,-10.140000,56
2.0,260.0,5.170000,56
3.0,260.0,19.900000,56
4.0,260.0,34.120000,56
5.0,260.0,47.810000,56
6.0,260.0,61.040000,56
7.0,260.0,73.810000,56
8.0,260.0,86.810000,56
9.0,260.0,98.140000,57
10.0,260.0,109.740000,57
11.0,260.0,121.000000,57
12.0,260.0,131.920000,57
13.0,260.0,142.540000,57
14.0,260.0,152.870000,57
15.0,260.0,162.930000,57
16.0,260.0,172.730000,58
17.0,260.0,182.300000,58
18.0,260.0,191.630000,58
19.0,260.0,200.750000,58
20.0,260.0,209.660000,58
21.0,260.0,218.400000,58
22.0,260.0,226.930000,58
23.0,260.0,235.310000,58
24.0,260.0,243.520000,59
25.0,260.0,251.580000,59
26.0,260.0,259.490000,59
27.0,260.0,267.270000,59
28.0,260.0,274.920000,59
29.0,260.0,282.460000,59
30.0,260.0,289.860000,59
1.0,270.0,-6.800000,56
2.0,270.0,8.390000,56
3.0,270.0,23.000000,56
4.0,270.0,37.110000,56
5.0,270.0,50.690000,56
6.0,270.0,63.800000,56
7.0,270.0,76.480000,56
8.0,270.0,88.730000,56
9.0,270.0,100.600000,57
10.0,270.0,112.100000,57
11.0,270.0,123.250000,57
12.0,270.0,134.080000,57
13.0,270.0,144.610000,57
14.0,270.0,154.840000,57
15.0,270.0,164.810000,57
16.0,270.0,174.530000,58
17.0,270.0,184.000000,58
18.0,270.0,193.250000,58
19.0,270.0,202.290000,58
20.0,270.0,211.120000,58
21.0,270.0,219.770000,58
22.0,270.0,228.240000,58
23.0,270.0,236.540000,58
24.0,270.0,244.680000,59
25.0,270.0,252.660000,59
26.0,270.0,260.520000,59
27.0,270.0,268.230000,59
28.0,270.0,275.820000,59
29.0,270.0,283.290000,59
30.0,270.0,290.640000,59
1.0,280.0,-3.480000,56
2.0,280.0,11.600000,56
3.0,280.0,26.110000,56
4.0,280.0,40.090000,56
5.0,280.0,53.560000,56
6.0,280.0,66.570000,56
7.0,280.0,79.140000,56
8.0,280.0,91.290000,56
9.0,280.0,103.050000,57
10.0,280.0,114.440000,57
11.0,280.0,125.500000,57
12.0,280.0,136.240000,57
13.0,280.0,146.670000,57
14.0,280.0,156.840000,57
15.0,280.0,166.690000,57
16.0,280.0,176.320000,58
17.0,280.0,185.700000,58
18.0,280.0,194.880000,58
19.0,280.0,203.830000,58
20.0,280.0,212.590000,58
21.0,280.0,221.160000,58
22.0,280.0,229.550000,58
23.0,280.0,237.770000,58
24.0,280.0,245.840000,59
25.0,280.0,253.760000,59
26.0,280.0,261.540000,59
27.0,280.0,269.180000,59
28.0,280.0,276.710000,59
29.0,280.0,284.120000,59
30.0,280.0,291.400000,59
1.0,290.0,-0.170000,56
2.0,290.0,14.800000,56
3.0,290.0,29.190000,56
4.0,290.0,43.070000,56
5.0,290.0,56.430000,56
6.0,290.0,69.330000,56
7.0,290.0,81.780000,56
8.0,290.0,93.830000,56
9.0,290.0,105.500000,57
10.0,290.0,116.790000,57
11.0,290.0,127.750000,57
12.0,290.0,138.390000,57
13.0,290.0,148.730000,57
14.0,290.0,158.780000,57
15.0,290.0,168.570000,57
16.0,290.0,178.110000,58
17.0,290.0,187.420000,58
18.0,290.0,196.500000,58
19.0,290.0,205.370000,58
20.0,290.0,214.050000,58
21.0,290.0,222.540000,58
22.0,290.0,230.860000,58
23.0,290.0,239.010000,58
24.0,290.0,247.010000,59
25.0,290.0,254.860000,59
26.0,290.0,262.570000,59
27.0,290.0,270.150000,59
28.0,290.0,277.610000,59
29.0,290.0,284.950000,59
30.0,290.0,292.180000,59
1.0,300.0,3.130000,56
2.0,300.0,17.980000,56
3.0,300.0,32.270000,56
4.0,300.0,46.030000,56
5.0,300.0,59.290000,56
6.0,300.0,72.060000,56
7.0,300.0,84.830000,56
8.0,300.0,96.380000,56
9.0,300.0,107.940000,57
10.0,300.0,119.130000,57
11.0,300.0,130.000000,57
12.0,300.0,140.540000,57
13.0,300.0,150.790000,57
14.0,300.0,160.750000,57
15.0,300.0,170.450000,57
16.0,300.0,179.900000,58
